sID,sentence,is_stressor,is_stressor_conf,is_covid,is_covid_conf,original_label,top_label,second_label,avg_severity,median_severity,SD_severity,Votes,Financial Problem,Other,Everyday Decision Making,Emotional Turmoil,School,Family Issues,Social Relationships,Work,"Health, Fatigue, or Physical Pain",Source,is_seed
0,?,0,100.00%,0,100.00%,Other,Other, ,0,0,0,5,0,1,0,0,0,0,0,0,0,popbots_live,0
1,2 of my foster kittens died,1,100.00%,0,100.00%,Other,Emotional Turmoil,Other,8.2,8,1.6,6,0,0.1,0,0.9,0,0,0,0,0,popbots_live,1
2,A better question would be what is not stressing me out.,1,100.00%,0,80.00%,Work,Everyday Decision Making,Other,5.4,5,2.65,7,0,0.3,0.6,0.1,0,0,0,0,0,mTurk_synthetic_covid,0
3,a big project at work.,0,60.00%,0,100.00%,Work,Other,Work,2.2,0,2.71,5,0,0.6,0,0,0,0,0,0.4,0,mTurk_synthetic,0
4,a certain person at work is being really angry with me lately.,1,100.00%,0,100.00%,Emotional Turmoil,Work,Social Relationships,3.4,3,0.49,8,0,0,0,0,0,0,0.3,0.7,0,mTurk_synthetic,0
5,a coworker completely ignored and replaced my work,1,100.00%,0,100.00%,Work,Work,Emotional Turmoil,4.2,4,0.75,6,0,0,0,0.2,0,0,0.1,0.7,0,mTurk_synthetic,0
6,a coworker has been really cold with me recently and it makes work uncomfortable.,1,100.00%,0,100.00%,Work,Work,Social Relationships,6,7,2.19,9,0,0,0,0.1,0,0,0.3,0.6,0,mTurk_synthetic,0
7,a few things - i can fill you in later when we chat,1,60.00%,0,100.00%,"Health, Fatigue, or Physical Pain",Other, ,1,1,0.89,5,0,1,0,0,0,0,0,0,0,mTurk_synthetic,0
8,a friendship,1,80.00%,0,100.00%,Emotional Turmoil,Social Relationships,Other,2.2,2,1.33,5,0,0.4,0,0,0,0,0.6,0,0,mTurk_synthetic,0
9,a good friend of mind is in the hospital wit pneumonia,1,100.00%,0,100.00%,Work,Social Relationships,"Health, Fatigue, or Physical Pain",4.8,4,2.14,6,0.2,0,0,0,0,0,0.5,0,0.3,mTurk_synthetic,1
10,a group project at my job,1,80.00%,0,100.00%,Work,Work,Other,3,3,2.76,6,0,0.2,0,0,0,0,0.1,0.7,0,mTurk_synthetic,0
11,a heavy work with less time duration,1,100.00%,0,100.00%,Work,Work,Social Relationships,4.4,4,1.85,5,0,0,0,0,0,0,0.2,0.8,0,mTurk_synthetic,0
